sequencial_candidato,uf,partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,situacao
10191,PE,PP,41,37,321144.06,7832.78,0,69100,251444.06,600,0,111,99,267514.14,2410.04,eleito
10191,AC,PMDB,5,4,925,185,0,0,100,825,0,10,7,518.98,51.9,nao_eleito
10191,MG,PMDB,278,270,1067138.35,3838.63,4770.9,431784.1,581583.35,46600,2400,1313,1084,1119374.68,852.53,eleito
10191,MS,PT,103,101,654275.71,6352.19,5391.67,493184.04,155700,0,0,289,219,576188.7,1993.73,eleito
10191,TO,PC do B,8,8,11297,1412.12,8400,1997,0,900,0,35,34,11266.39,321.9,nao_eleito
10192,MA,PSL,1,1,1000,1000,1000,0,0,0,0,1,1,1000,1000,nao_eleito
10192,TO,PC do B,2,2,2400,1200,2400,0,0,0,0,2,2,2400,1200,nao_eleito
10192,MG,PMDB,4,4,920,230,0,200,0,720,0,13,13,2307.8,177.52,nao_eleito
10192,MS,PT,12,12,37293.24,3107.77,2283.24,4700,0,30310,0,32,30,28819.41,900.61,nao_eleito
10192,AL,PHS,1,1,1500,1500,1500,0,0,0,0,6,6,1470.06,245.01,nao_eleito
10193,AC,PPS,4,4,8880,2220,0,5880,0,3000,0,8,8,17760,2220,nao_eleito
10193,MG,PMDB,3,3,1260,420,0,1150,0,110,0,17,15,1244.02,73.18,nao_eleito
10194,MA,PSL,1,1,1000,1000,0,0,1000,0,0,1,1,1000,1000,nao_eleito
10194,MG,PMDB,62,61,54996.9,887.05,1770.9,6026,0,47200,0,117,83,49788.9,425.55,nao_eleito
10194,AC,PPS,14,14,161485,11534.64,0,3000,400,158085,0,42,32,158578.4,3775.68,eleito
10194,TO,PC do B,2,2,2400,1200,2400,0,0,0,0,2,2,2400,1200,nao_eleito
10194,MS,PT,19,19,29530.71,1554.25,19530.71,10000,0,0,0,27,16,21228.57,786.24,nao_eleito
10195,MA,PSL,1,1,18000,18000,18000,0,0,0,0,1,1,18000,18000,nao_eleito
10195,AC,PPS,1,1,300,300,0,0,300,0,0,1,1,300,300,nao_eleito
10195,MG,PMDB,4,4,69920,17480,0,1920,45000,23000,0,17,17,68017.53,4001.03,nao_eleito
10195,PE,PDT,1,1,136.2,136.2,136.2,0,0,0,0,1,1,136.2,136.2,nao_eleito
10195,MS,PSB,191,152,174223.35,912.16,0,171831.25,0,2392.1,0,170,55,110579.35,650.47,nao_eleito
10195,MT,PSDB,11,7,8535.5,775.95,4231.5,3800,504,0,0,11,7,7235.5,657.77,nao_eleito
10196,MA,PSL,1,1,1000,1000,1000,0,0,0,0,1,1,1000,1000,nao_eleito
10196,MG,PMDB,19,18,364770.9,19198.47,1770.9,7000,356000,0,0,232,201,352053,1517.47,eleito
10196,MS,PSB,9,9,20604.44,2289.38,1814.44,9490,8100,1200,0,51,47,20389.02,399.78,nao_eleito
10197,MG,PMDB,17,17,408290.9,24017.11,0,50000,356520,0,1770.9,487,435,399870.35,821.09,eleito
10197,PE,PDT,1,1,204.25,204.25,204.25,0,0,0,0,1,1,204.25,204.25,nao_eleito
10197,MA,PSL,2,2,3500,1750,0,0,0,2000,1500,4,4,3492.04,873.01,nao_eleito
10197,MT,PSDB,16,14,120431.5,7526.97,4231.5,4000,112200,0,0,187,171,114277.7,611.11,nao_eleito
10197,MS,PTB,6,6,2823.21,470.54,2823.21,0,0,0,0,6,6,2823.21,470.54,nao_eleito
10198,MG,PMDB,5,4,10540.9,2108.18,1790.9,0,0,8750,0,15,13,6540.44,436.03,nao_eleito
10198,PE,PDT,9,6,18384.29,2042.7,680.85,0,0,17703.44,0,40,38,18232.61,455.82,nao_eleito
10198,MT,PSDB,12,12,121334,10111.17,9231.5,30000,76102.5,6000,0,84,83,116782.81,1390.27,nao_eleito
10199,MG,PMDB,66,65,261696.4,3965.1,0,44906.4,90000,126790,0,386,314,280578.95,726.89,nao_eleito
10199,PI,PDT,1,1,360,360,0,0,360,0,0,1,1,360,360,nao_eleito
10199,MS,PTB,9,9,4577.21,508.58,2823.21,0,0,1754,0,13,12,4557.99,350.61,nao_eleito
10199,MT,PSDB,41,37,97378.5,2375.09,4231.5,11350,0,81797,0,150,112,79145.25,527.63,nao_eleito
10200,MT,PSDB,22,19,69716.68,3168.94,4231.5,3750,0,61735.18,0,158,144,62952.83,398.44,nao_eleito
10200,MG,PMDB,39,32,731428.99,18754.59,1000,10178.99,73000,647250,0,1181,1101,688443.58,582.93,eleito
10200,BA,PFL,21,19,269208.27,12819.44,2500,1500,265208.27,0,0,56,51,245356.9,4381.37,eleito
10200,AC,PPS,1,1,3800,3800,0,0,0,3800,0,43,25,13635.57,317.11,nao_eleito
10200,PI,PDT,6,6,28360,4726.67,0,2810,0,25550,0,39,36,28320.98,726.18,nao_eleito
10200,PE,PDT,19,18,337600,17768.42,0,5600,294000,38000,0,90,85,276457.96,3071.76,eleito
10201,BA,PFL,313,199,232779.36,743.7,5016,87148.36,107915,32700,0,253,207,250837.19,991.45,eleito
10201,PI,PDT,4,4,1622.93,405.73,0,0,1400,222.93,0,7,7,1622.8,231.83,nao_eleito
10201,MS,PC do B,16,15,17168.13,1073.01,3234.13,11570,0,2000,364,39,34,13274.14,340.36,nao_eleito
10201,MG,PMDB,8,6,18200,2275,0,2200,4000,12000,0,32,29,13702.54,428.2,nao_eleito
10201,AL,PSB,12,9,298000,24833.33,0,18000,280000,0,0,50,44,244805.8,4896.12,nao_eleito
10202,MS,PP,34,33,133941.69,3939.46,36373.25,73400,1000,23168.44,0,54,38,92895.19,1720.28,eleito
10202,PB,PRB,1,1,500,500,0,500,0,0,0,7,7,422.37,60.34,nao_eleito
10202,PE,PDT,2,2,980,490,980,0,0,0,0,1,1,980,980,nao_eleito
10202,BA,PFL,42,42,243605,5800.12,2500,202910,38195,0,0,58,50,228565.58,3940.79,eleito
10202,MG,PMDB,24,23,509169.22,21215.38,0,20000,461000,28169.22,0,395,366,486877.72,1232.6,nao_eleito
10203,PE,PDT,5,5,2508.5,501.7,2358.5,0,0,150,0,11,9,2453.53,223.05,nao_eleito
10203,PB,PRB,1,1,40,40,0,0,0,40,0,1,1,40,40,nao_eleito
10203,BA,PFL,18,18,410200,22788.89,2500,0,300000,58700,49000,152,145,405629.38,2668.61,nao_eleito
10203,MS,PTN,3,3,1579.34,526.45,1579.34,0,0,0,0,3,3,1579.34,526.45,nao_eleito
10203,PI,PDT,3,3,5450,1816.67,0,4500,0,950,0,29,23,5327.43,183.7,nao_eleito
10204,BA,PFL,42,40,315090,7502.14,2500,28000,254590,30000,0,173,133,271005.68,1566.51,eleito
10204,AL,PSB,12,12,134066.62,11172.22,0,2000,100008,32058.62,0,21,21,134017.93,6381.81,eleito
10204,ES,PMDB,15,15,133850,8923.33,0,8370,75480,50000,0,76,73,130134.57,1712.3,nao_eleito
10204,PE,PSC,3,3,5700,1900,0,0,0,5700,0,11,10,5563.27,505.75,eleito
10204,AP,PSB,5,3,1400,280,0,0,0,0,1400,5,3,1000,200,nao_eleito
10204,MS,PHS,3,3,1666.23,555.41,374.8,0,1291.43,0,0,3,3,1666.23,555.41,nao_eleito
10205,MG,PMDB,12,12,587086.56,48923.88,0,200315.66,375000,10000,1770.9,295,286,377449.26,1279.49,eleito
10205,PE,PSC,2,2,1600,800,0,600,0,1000,0,6,6,1600,266.67,nao_eleito
10205,BA,PFL,18,18,313316.16,17406.45,2500,0,300577.38,10238.78,0,55,53,311799.25,5669.08,eleito
10205,AP,PSB,5,3,2000,400,0,0,0,400,1600,11,7,1561.64,141.97,nao_eleito
10205,ES,PMDB,38,38,724210.53,19058.17,0,20000,684210.53,20000,0,582,388,590158.34,1014.02,eleito
10206,BA,PFL,26,26,1224971.94,47114.31,2500,150000,1072471.94,0,0,270,253,1183459.85,4383.18,eleito
10206,MS,PHS,5,4,3866.23,773.25,374.8,0,3491.43,0,0,7,7,3866.23,552.32,nao_eleito
10206,AP,PSB,3,2,500,166.67,0,0,0,0,500,3,2,400,133.33,nao_eleito
10206,PI,PDT,2,2,456,228,0,0,456,0,0,2,2,456,228,nao_eleito
10206,RN,PSOL,3,3,617.67,205.89,0,0,0,617.67,0,8,6,422.67,52.83,nao_eleito
10206,PB,PMDB,153,150,313442.74,2048.65,0,170200,100,143142.74,0,157,146,335944.34,2139.77,eleito
10207,MS,PHS,4,4,2766.23,691.56,374.8,0,2391.43,0,0,9,9,2766.23,307.36,nao_eleito
10207,MG,PMDB,8,4,99454,12431.75,0,0,0,99454,0,218,212,98109.28,450.04,nao_eleito
10207,AP,PSB,31,29,67497.35,2177.33,1100,40697.35,24500,1200,0,40,28,44452.38,1111.31,nao_eleito
10207,SC,PT,119,88,48065,403.91,0,26865,0,21200,0,49,37,50293.29,1026.39,nao_eleito
10207,PB,PMDB,10,10,218000,21800,0,23000,195000,0,0,65,62,205300,3158.46,eleito
10207,RN,PSOL,33,25,2832.68,85.84,0,1639.5,0,1193.18,0,23,21,1940.23,84.36,nao_eleito
10207,BA,PFL,28,19,273645,9773.04,0,0,233645,40000,0,74,73,265440.41,3587.03,eleito
10207,ES,PMDB,56,53,643842.5,11497.19,0,99142.5,248000,296700,0,1101,1054,586088.67,532.32,eleito
10208,MS,PRP,9,9,9636.33,1070.7,7246.33,1200,0,1190,0,24,24,9295.35,387.31,nao_eleito
10208,MG,PMDB,10,10,4400.2,440.02,0,1939.3,2420.9,40,0,9,9,4356.2,484.02,nao_eleito
10208,PB,PMDB,12,9,77384.2,6448.68,0,0,56384.2,21000,0,19,18,70347,3702.47,nao_eleito
10208,SC,PT,27,26,34648.56,1283.28,500,21299,5000,7849.56,0,77,71,33302.88,432.5,nao_eleito
10208,BA,PFL,46,46,57780,1256.09,0,57780,0,0,0,54,49,57746.45,1069.38,nao_eleito
10208,PE,PSC,3,3,2591,863.67,0,870,0,1721,0,5,5,2589.79,517.96,nao_eleito
10208,AP,PSB,5,4,1780,356,1080,0,0,700,0,1,1,694,694,nao_eleito
10208,ES,PMDB,39,37,858940,22024.1,0,18440,817000,23500,0,194,188,847572.7,4368.93,eleito
10209,RN,PSOL,20,20,5250,262.5,0,831,0,4419,0,19,18,4695.8,247.15,nao_eleito
10209,ES,PMDB,3,3,6421.35,2140.45,0,3010,0,3411.35,0,7,7,6421.4,917.34,nao_eleito
10209,SC,PT,50,41,475194.53,9503.89,1000,7688,423326.53,43180,0,335,288,410616.7,1225.72,nao_eleito
10209,AL,PRP,12,11,26230.7,2185.89,0,0,0,26230.7,0,20,19,26063.04,1303.15,nao_eleito
10209,AP,PSB,8,4,1900,237.5,0,0,0,0,1900,8,4,1100,137.5,nao_eleito
10209,BA,PFL,11,11,13400,1218.18,0,10300,2100,1000,0,12,12,13389.25,1115.77,nao_eleito
10209,PB,PMDB,28,25,84411.61,3014.7,1598.7,7500,35956.91,39356,0,47,46,77606.88,1651.21,eleito
10210,RN,PSTU,2,2,270,135,0,270,0,0,0,5,4,265.5,53.1,nao_eleito
10210,BA,PFL,65,65,302168.11,4648.74,2500,31700,267645.11,323,0,121,114,349593.11,2889.2,nao_eleito
10210,PE,PL,18,18,316000.42,17555.58,0,6000,165000,0.42,145000,65,61,337312.67,5189.43,eleito
10210,AP,PSB,61,56,89626.49,1469.29,4660,80186.99,4779.5,0,0,65,41,57902.89,890.81,eleito
10210,SC,PT,47,46,186030.1,3958.09,0,78250,83000,24780.1,0,171,143,231963.2,1356.51,nao_eleito
10210,MG,PMDB,14,6,91080,6505.71,0,3400,40000,47680,0,160,79,44918,280.74,nao_eleito
10211,SC,PT,44,43,454605.34,10331.94,0,17090,412500,25015.34,0,276,246,424891.54,1539.46,eleito
10211,ES,PMDB,13,11,26749.76,2057.67,0,0,0,26749.76,0,44,42,22748.84,517.02,nao_eleito
10211,AP,PSB,21,17,3967,188.9,0,1667,200,0,2100,21,15,2967,141.29,nao_eleito
10211,BA,PFL,63,58,902102.82,14319.09,0,1500,900602.82,0,0,69,48,779409.61,11295.79,eleito
10211,AL,PRP,2,2,5294.51,2647.26,0,0,5000,294.51,0,7,6,5234.2,747.74,nao_eleito
10211,MG,PMDB,10,9,301300,30130,0,81300,220000,0,0,61,60,219300,3595.08,eleito
10212,SC,PT,36,35,452947,12581.86,0,42750,401197,9000,0,189,166,419503.07,2219.59,eleito
10212,PB,PMDB,9,7,11800,1311.11,1700,6000,0,4100,0,26,22,9575.99,368.31,nao_eleito
10212,TO,PT,13,13,10755.29,827.33,2400,1451,0,6904.29,0,24,23,9655.29,402.3,nao_eleito
10212,BA,PFL,32,32,1208700,37771.88,2500,74000,1122000,10200,0,547,524,1179820.49,2156.89,eleito
10212,AP,PSB,6,5,3150,525,0,0,0,0,3150,6,6,3150,525,nao_eleito
10213,SC,PT,51,36,25450,499.02,0,12450,0,13000,0,33,31,24749.56,749.99,nao_eleito
10213,MT,PT,14,14,8457.56,604.11,0,5770,2597.56,90,0,12,12,8452.84,704.4,nao_eleito
10213,TO,PT,78,75,120129.27,1540.12,46800,31189.27,22140,19000,1000,74,61,83707.97,1131.19,nao_eleito
10213,PB,PSB,5,5,8360,1672,0,0,0,2360,6000,21,20,7760,369.52,nao_eleito
10213,BA,PFL,32,32,115920,3622.5,2500,26350,80500,6570,0,125,111,88914.45,711.32,eleito
10213,MG,PMDB,18,18,437000,24277.78,0,33000,382000,22000,0,319,267,432472.67,1355.71,nao_eleito
10214,MG,PMDB,2,2,9600,4800,0,0,4600,5000,0,33,33,8836.66,267.78,nao_eleito
10214,MT,PT,14,13,5667.56,404.83,2597.56,2135,0,935,0,13,12,4899.07,376.85,nao_eleito
10214,SC,PT,15,14,31642.68,2109.51,0,9220,22000,422.68,0,67,63,27589.42,411.78,nao_eleito
10214,TO,PT,2,2,2400,1200,2400,0,0,0,0,2,2,2400,1200,nao_eleito
10215,PB,PSB,12,12,33508.7,2792.39,6000,5500,608.7,19400,2000,26,25,31508.7,1211.87,nao_eleito
10215,SC,PT,55,51,80472.47,1463.14,0,23386.47,29525,27561,0,58,55,77462.47,1335.56,nao_eleito
10215,MG,PMDB,2,2,2310,1155,0,0,0,2310,0,6,6,2308,384.67,nao_eleito
10215,MT,PT,21,19,35773,1703.48,2740,5565,3160,24308,0,41,39,33970.61,828.55,nao_eleito
10215,BA,PFL,41,37,416833.31,10166.67,0,42200,309330.36,65302.95,0,198,191,399733.31,2018.86,eleito
10216,SC,PT,20,20,13446.45,672.32,500,12646.45,0,300,0,33,28,10882.89,329.78,nao_eleito
10216,MT,PT,79,71,332124.51,4204.11,10610.07,108106.72,132407.72,21000,60000,352,299,321816.37,914.25,eleito
10216,BA,PFL,56,52,173444.61,3097.23,2500,18370,146574.61,6000,0,90,82,167162.18,1857.36,nao_eleito
10216,MG,PMDB,79,75,970305.17,12282.34,0,87310,821995.17,60000,1000,558,490,939205.8,1683.16,eleito
10216,PE,PSB,21,18,158740.25,7559.06,30000,5800,104000,18940.25,0,63,61,155840.25,2473.65,eleito
10216,PB,PSB,11,9,260103.7,23645.79,7103.7,0,170000,1000,82000,104,94,222786.17,2142.17,eleito
10216,TO,PT,4,3,4400,1100,2400,0,0,2000,0,20,18,4280,214,nao_eleito
10217,MT,PT,64,56,39412.16,615.81,0,21880,10042.56,7489.6,0,125,118,37289.94,298.32,nao_eleito
10217,BA,PFL,17,17,812158,47774,0,150000,662158,0,0,160,148,808615.45,5053.85,eleito
10217,PE,PSB,134,120,1062994.13,7932.79,0,368500,694494.13,0,0,183,176,967426.18,5286.48,eleito
10217,TO,PT,7,7,10902.1,1557.44,2400,0,0,8502.1,0,12,12,10902.07,908.51,nao_eleito
10217,PB,PSB,43,39,360527.28,8384.36,1598.7,81500,272428.58,5000,0,75,60,299527.28,3993.7,eleito
10217,MG,PMDB,41,41,393760.9,9603.92,1770.9,3060,388900,30,0,372,297,330714.7,889.02,nao_eleito
10217,SC,PT,9,9,26600,2955.56,0,10500,15000,1100,0,40,36,21907.12,547.68,nao_eleito
10218,SC,PT,66,66,223939.61,3393.02,1000,36224,88715.61,98000,0,240,199,198984.2,829.1,eleito
10218,PA,PAN,2,2,1197,598.5,1197,0,0,0,0,2,2,1197,598.5,nao_eleito
10218,MT,PT,21,17,36349.56,1730.93,2597.56,9752,2000,22000,0,107,84,26758.18,250.08,nao_eleito
10218,PB,PSB,4,4,8806.7,2201.68,0,0,806.7,0,8000,9,9,8806.68,978.52,nao_eleito
10218,TO,PT,4,4,3130,782.5,2400,0,0,730,0,26,22,6647.91,255.69,nao_eleito
10219,SC,PT,8,7,5825.54,728.19,500,4522.5,0,803.04,0,8,8,5825.78,728.22,nao_eleito
10219,PE,PSB,3,3,1010,336.67,0,0,0,1010,0,10,10,1003.79,100.38,nao_eleito
10219,MG,PRB,5,5,4802,960.4,0,3052,1750,0,0,22,15,5194.89,236.13,nao_eleito
10219,BA,PFL,27,27,560301.8,20751.92,2500,17000,540801.8,0,0,268,224,519785.85,1939.5,eleito
10219,PB,PSB,10,10,25120.7,2512.07,905.7,18215,0,0,6000,24,21,21325.71,888.57,nao_eleito
10220,PB,PSB,14,14,16355.7,1168.26,1305.7,5050,0,2000,8000,26,26,16334.14,628.24,nao_eleito
10220,MG,PC do B,84,83,252689.92,3008.21,35090,17979.92,156000,43620,0,138,117,208399.37,1510.14,eleito
10221,PR,PT,4,3,15600,3900,1600,0,0,14000,0,16,16,15557,972.31,nao_eleito
10221,PB,PC do B,1,1,300,300,0,300,0,0,0,1,1,300,300,nao_eleito
10221,BA,PP,10,10,317900,31790,2500,0,90000,18000,207400,54,50,285858.97,5293.68,eleito
10221,SC,PT,121,98,268795,2221.45,0,80245,150200,38350,0,169,164,262899.68,1555.62,nao_eleito
10222,PB,PC do B,4,4,2443.7,610.92,0,540,608.7,1295,0,10,6,1938.7,193.87,nao_eleito
10222,BA,PP,41,40,626813.61,15288.14,2500,245265,248000,106348.61,24700,259,203,497280.4,1920,eleito
10222,PR,PT,48,45,45665,951.35,0,25205,16460,4000,0,132,116,38507.6,291.72,nao_eleito
10222,SC,PT,9,9,3876.06,430.67,0,2806.06,0,1070,0,46,46,40543.06,881.37,nao_eleito
10223,PR,PT,11,11,28100,2554.55,0,17100,0,11000,0,47,45,25884.88,550.74,nao_eleito
10223,BA,PP,5,5,11000,2200,0,8000,0,3000,0,19,17,10956.48,576.66,nao_eleito
10223,SC,PT,27,25,18372,680.44,1000,12072,2000,3300,0,49,46,18036.74,368.1,nao_eleito
10224,PE,PSB,8,7,30120,3765,0,4000,20120,6000,0,11,9,30023.59,2729.42,nao_eleito
10224,PR,PT,7,7,2540,362.86,2100,340,0,100,0,14,14,2540,181.43,nao_eleito
10224,BA,PP,69,69,249160,3611.01,2500,185670,16100,44890,0,93,80,245631.34,2641.2,eleito
10224,SE,PSTU,4,4,830.94,207.74,0,445.94,0,385,0,9,9,830.93,92.33,nao_eleito
10225,PE,PSB,5,4,42000,8400,30000,2000,10000,0,0,8,8,42000,5250,nao_eleito
10225,PR,PT,35,27,185575.73,5302.16,1000,55525.73,27000,102050,0,428,407,178786.05,417.72,nao_eleito
10225,BA,PL,19,17,287527.38,15133.02,52500,27850,140577.38,16600,50000,88,82,280074.48,3182.66,eleito
10226,GO,PC do B,75,70,425012.2,5666.83,259000,68880,51600,45532.2,0,211,181,331447.7,1570.84,nao_eleito
10226,BA,PL,26,22,92928.77,3574.18,398.63,1000,0,91530.14,0,74,72,88411.77,1194.75,nao_eleito
10226,PE,PSB,1,1,1240,1240,0,0,0,1240,0,4,3,840,210,nao_eleito
10227,PR,PT,78,76,243762.73,3125.16,1000,31785,19085,191892.73,0,298,259,191444.93,642.43,eleito
10227,BA,PL,10,9,27772.64,2777.26,0,0,3000,24772.64,0,27,24,27736.61,1027.28,eleito
10228,PE,PSB,117,115,425100,3633.33,89200,22000,228000,15900,70000,110,101,434051.38,3945.92,eleito
10228,MA,PTC,1,1,1250,1250,1250,0,0,0,0,1,1,1250,1250,nao_eleito
10228,PR,PT,58,52,123059.23,2121.71,0,68000,1000,54059.23,0,127,115,119395.13,940.12,eleito
10228,BA,PL,16,15,58520.27,3657.52,0,2000,0,56520.27,0,33,27,57388.19,1739.04,nao_eleito
10229,PE,PSB,19,19,62678.78,3298.88,0,5678.78,57000,0,0,25,25,62678.78,2507.15,nao_eleito
10229,BA,PL,7,7,2517.36,359.62,0,0,5.51,2511.85,0,25,23,2516.66,100.67,nao_eleito
10229,PR,PT,20,20,22574.42,1128.72,7152,10668.42,754,4000,0,47,40,18752.6,398.99,nao_eleito
10229,SE,PSOL,3,2,685,228.33,685,0,0,0,0,3,2,435,145,nao_eleito
10230,MA,PTC,1,1,625,625,625,0,0,0,0,1,1,625,625,nao_eleito
10230,PR,PT,17,15,6829,401.71,1600,1680,0,3549,0,20,15,5972.18,298.61,nao_eleito
10230,BA,PL,69,63,384481,5572.19,0,174281,171500,38700,0,101,46,210883.95,2087.96,eleito
10230,ES,PFL,14,13,29960,2140,0,3710,15400,10850,0,70,64,26033.48,371.91,nao_eleito
10231,PR,PT,4,4,1750,437.5,0,50,0,100,1600,4,4,1740,435,nao_eleito
10232,PR,PT,33,32,244372.95,7405.24,0,104000,140372.95,0,0,94,92,242632.2,2581.19,eleito
10232,MA,PTC,2,2,2010,1005,1250,0,0,760,0,5,5,2010,402,nao_eleito
10233,RN,PV,3,3,4285.72,1428.57,4285.72,0,0,0,0,3,3,4285.72,1428.57,nao_eleito
10233,MA,PTC,4,4,2475,618.75,625,0,0,1850,0,12,12,2475,206.25,nao_eleito
10233,PR,PT,28,27,102848,3673.14,8288,33780,7100,53680,0,132,88,82111.3,622.06,nao_eleito
10234,PR,PT,8,8,4650,581.25,2150,1000,250,1250,0,26,23,4194.04,161.31,nao_eleito
10234,RN,PV,3,3,4285.72,1428.57,4285.72,0,0,0,0,3,3,4285.72,1428.57,nao_eleito
10235,RN,PV,5,5,4485.72,897.14,4285.72,0,200,0,0,9,9,4485.46,498.38,nao_eleito
10235,MA,PTC,2,2,750,375,500,250,0,0,0,14,13,700,50,nao_eleito
10235,BA,PTC,4,4,1154,288.5,0,0,0,1154,0,7,7,1145.82,163.69,nao_eleito
10235,PR,PT,187,181,141707,757.79,1000,20811,35546,84350,0,158,140,135031.67,854.63,nao_eleito
10236,RN,PV,4,4,4285.72,1071.43,4285.72,0,0,0,0,4,4,4285.72,1071.43,nao_eleito
10236,BA,PTC,2,2,1200,600,0,0,0,1200,0,8,6,1174.54,146.82,nao_eleito
10237,PR,PT,5,5,2433,486.6,1900,0,500,33,0,17,13,2177,128.06,nao_eleito
10237,AL,PMDB,6,5,19720,3286.67,19500,220,0,0,0,33,33,19720,597.58,nao_eleito
10237,RN,PV,27,26,51783.13,1917.89,0,32610,8500,10673.13,0,44,41,40783.13,926.89,nao_eleito
10237,PA,PHS,7,7,3586.67,512.38,1686.67,700,0,1200,0,15,15,3586.67,239.11,nao_eleito
10238,PR,PT,324,308,276264.14,852.67,61450,81900,96314.14,35000,1600,335,261,288353.66,860.76,eleito
10239,AL,PMDB,2,2,1666,833,1666,0,0,0,0,2,2,1666,833,nao_eleito
10239,RN,PV,3,3,4285.72,1428.57,4285.72,0,0,0,0,3,3,4285.72,1428.57,nao_eleito
10239,PR,PT,49,47,104990,2142.65,1600,60490,5000,36400,1500,97,77,103949.09,1071.64,nao_eleito
10240,BA,PTC,6,6,9101.94,1516.99,0,4000,885,4216.94,0,22,14,6555.78,297.99,nao_eleito
10240,PA,PT do B,2,2,3058.52,1529.26,0,0,0,3058.52,0,26,22,2991.28,115.05,nao_eleito
10240,AL,PMDB,19,19,1521958.92,80103.1,394458.92,5000,1040000,82500,0,48,48,1521687.23,31701.82,eleito
10240,PR,PT,3,3,1960,653.33,1600,0,0,360,0,7,7,1955.85,279.41,nao_eleito
10241,PR,PT,4,4,1300,325,300,1000,0,0,0,11,11,1388.98,126.27,nao_eleito
10241,PA,PT do B,10,9,9950,995,0,9950,0,0,0,12,11,9947.1,828.93,nao_eleito
10241,BA,PTC,1,1,1500,1500,0,0,0,1500,0,9,9,1500,166.67,nao_eleito
10242,AL,PMDB,10,10,66854,6685.4,0,30900,30700,5254,0,32,30,66776.7,2086.77,eleito
10242,AP,PTB,2,2,33500,16750,0,0,0,33500,0,30,29,33230,1107.67,nao_eleito
10242,SP,PTB,6,6,3006,501,0,1200,800,1006,0,12,12,3006,250.5,nao_eleito
10243,MT,PC do B,5,5,3797.92,759.58,1797.92,1500,0,500,0,9,7,9675.11,1075.01,nao_eleito
10243,GO,PSDC,1,1,684,684,684,0,0,0,0,1,1,684,684,nao_eleito
10243,PR,PT,34,31,149852,4407.41,0,44920,7732,97200,0,247,212,200752.4,812.76,nao_eleito
10243,AL,PMDB,19,18,229630,12085.79,0,17930,200700,11000,0,30,30,229626.15,7654.2,eleito
10243,SP,PTB,49,46,175782,3587.39,6889.44,18145.36,20000,130747.2,0,121,91,155865.99,1288.15,nao_eleito
10245,PR,PT,14,11,6770,483.57,1600,400,0,4770,0,36,33,6416.68,178.24,nao_eleito
10245,SP,PTB,1,1,59,59,0,59,0,0,0,1,1,59,59,nao_eleito
10246,PR,PT,105,100,158264.82,1507.28,1000,34808.02,20556.8,101900,0,467,421,150942.35,323.22,nao_eleito
10246,CE,PSOL,1,1,1915,1915,0,0,0,1915,0,1,1,1900,1900,nao_eleito
10246,AP,PTN,3,3,21032.41,7010.8,0,1000,20000,32.41,0,22,18,20953.79,952.45,nao_eleito
10247,AP,PPS,4,4,45000,11250,0,0,45000,0,0,43,40,36055.7,838.5,nao_eleito
10247,CE,PSOL,7,7,5782.5,826.07,0,589,1600,3593.5,0,18,17,4271.04,237.28,nao_eleito
10248,CE,PSOL,2,2,240,120,0,200,0,40,0,2,2,240,120,nao_eleito
10248,SP,PTB,2,2,781.53,390.76,720.53,0,0,61,0,2,2,1441.06,720.53,nao_eleito
10248,PI,PSTU,1,1,225,225,225,0,0,0,0,1,1,225,225,nao_eleito
10248,AP,PPS,4,4,11000,2750,0,3600,1400,6000,0,15,15,11000,733.33,nao_eleito
10249,ES,PSDB,10,10,21229.2,2122.92,0,7500,10729.2,3000,0,23,23,21219.7,922.6,nao_eleito
10249,CE,PSOL,99,93,117669.45,1188.58,0,115338.65,913.02,1417.78,0,110,98,103796.1,943.6,nao_eleito
10249,AP,PPS,37,34,208700,5640.54,0,121700,87000,0,0,54,54,210800,3903.7,eleito
10250,CE,PSOL,8,7,1913,239.12,0,740,0,1173,0,19,18,1711.27,90.07,nao_eleito
10250,AP,PFL,6,6,18700,3116.67,0,2980,15000,720,0,39,26,18601,476.95,nao_eleito
10250,ES,PSDB,53,52,996554,18802.91,0,98544,892370,5640,0,699,591,900155.18,1287.78,eleito
10251,SP,PTB,5,5,1250,250,0,1200,0,50,0,6,3,350.02,58.34,nao_eleito
10251,AP,PFL,8,8,165887.36,20735.92,0,0,160887.36,5000,0,48,47,162635.61,3388.24,eleito
10251,ES,PSDB,14,14,432026.22,30859.02,49810.72,26215.5,356000,0,0,351,297,402081.22,1145.53,nao_eleito
10252,ES,PSDB,9,9,133525,14836.11,0,3320,124920,5285,0,103,68,110186.99,1069.78,nao_eleito
10252,AP,PRTB,1,1,5000,5000,0,5000,0,0,0,4,4,5000,1250,nao_eleito
10252,CE,PSOL,7,6,1590,227.14,0,500,0,1090,0,13,13,1577.37,121.34,nao_eleito
10252,PA,PTC,3,3,2925,975,0,0,0,2925,0,3,3,2925,975,nao_eleito
10253,SE,PTC,2,2,350,175,350,0,0,0,0,2,2,350,175,nao_eleito
10253,AP,PMN,3,3,11161.59,3720.53,0,11000,0,161.59,0,22,22,11159.91,507.27,nao_eleito
